ano;km;cambio;carroceria;combustivel;final_de_placa;cor;aceita_troca;todas_as_revisoes_feitas_pela_concessionaria;ipva_pago;licenciado;garantia_de_fabrica;nao_identificado;link;todas_as_revisoes_feitas_pela_agenda_do_carro;unico_dono;blindado;alienado
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
2018/2019;41.490;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/37274077?pos=q37274077g:&np=4;;;;
2019/2020;11.000;Manual;Hatchback;Gasolina e álcool;9;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2019-2020/37275206?pos=r37275206g:&np=4;;Sim;Sim;
2019/2020;11.000;Manual;Hatchback;Gasolina e álcool;9;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2019-2020/37275206?pos=r37275206g:&np=4;;Sim;Sim;
2019/2020;11.000;Manual;Hatchback;Gasolina e álcool;9;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2019-2020/37275206?pos=r37275206g:&np=4;;Sim;Sim;
2019/2020;11.000;Manual;Hatchback;Gasolina e álcool;9;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2019-2020/37275206?pos=r37275206g:&np=4;;Sim;Sim;
