link;preco;valid_preco;modelo;anomodelo;quilometragem
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2017/36702937?pos=r36702937g:&np=16;39,9;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2017/2017;80000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2014-2015/36702997?pos=s36702997g:&np=16;40,899;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2014/2015;105898 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/36705688?pos=t36705688m:&np=16;63,99;1;1.0 12V FLEX VISION MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2016-2017/36690528?pos=u36690528a:&np=16;54,0;1;1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO;2016/2017;70000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-evolution-automatico/4-portas/2021-2022/36716995?pos=v36716995g:&np=16;79,99;1;1.0 TGDI FLEX EVOLUTION AUTOMÁTICO;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2019/36720995?pos=w36720995g:&np=16;52,89;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2019/2019;51668 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/36741146?pos=x36741146g:&np=16;62,99;1;1.0 12V FLEX VISION MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/36741174?pos=a36741174g:&np=17;62,99;1;1.0 12V FLEX VISION MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015-2016/36755826?pos=b36755826g:&np=17;41,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2015/2016;54000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/36755806?pos=c36755806g:&np=17;47,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2018/2019;64000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/36757058?pos=d36757058g:&np=17;58,99;1;1.0 12V FLEX SENSE MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/36757055?pos=e36757055g:&np=17;58,99;1;1.0 12V FLEX SENSE MANUAL;2021/2022;0 km
